no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
1977,1976,인생 :위화 장편소설 ,지은이: 위화 ;옮긴이: 백원담,푸른숲,2023,9791156754312,3820.0,,823.7,문학 > 중국문학 > 소설,https://shopping-phinf.pstatic.net/main_4233445/42334455619.20230831082331.jpg,https://data4library.kr/bookV?seq=6756168,649
1978,1978,라쇼몬 :아쿠타가와 류노스케 단편선 ,지은이: 아쿠타가와 류노스케 ;옮긴이: 서은혜,민음사,2014,9788937463266,4800.0,326.0,833.6,문학 > 일본문학 > 소설,http://image.aladin.co.kr/product/4759/87/cover/8937463261_1.jpg,https://data4library.kr/bookV?seq=2763721,648
1979,1978,가위손 사장님 ,글·그림: 진수경,천개의바람,2024,9791165734701,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33249/45/cover/k682938569_1.jpg,https://data4library.kr/bookV?seq=6820573,648
1980,1978,속임수의 섬 ,히가시가와 도쿠야 지음 ;김은모 옮김,교보문고,2024,9791170610984,3830.0,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/33292/80/cover/k172938282_1.jpg,https://data4library.kr/bookV?seq=6822937,648
1981,1978,급식왕 go,원작: 급식왕 ;그림: 구은미,샌드박스네트워크,2022,9791192504353,74810.0,9.0,810.0,문학 > 한국문학 > 한국문학,https://image.aladin.co.kr/product/33842/95/cover200/k852930092_2.jpg,https://data4library.kr/bookV?seq=6865319,648
1982,1982,"엄마, 이제 그만!",박혜숙 글;이동희 그림,,2016,9788927186984,74810.0,7.0,808.9,"문학 > 문학 > 전집, 총서",,https://data4library.kr/bookV?seq=3264858,647
1983,1982,끝까지 들어 줘!,정재은 글;정문주 그림,,2016,9788927187271,74810.0,36.0,808.9,"문학 > 문학 > 전집, 총서",,https://data4library.kr/bookV?seq=3264872,647
1984,1984,마법 시장 ,이향안 글 ;윤진현 그림,현암사,2019,9788932374888,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/18732/25/cover/8932374880_1.jpg,https://data4library.kr/bookV?seq=5385269,646
1985,1984,용돈주세요,글: 고대영;그림: 김영진,길벗어린이,2007,9788955820683,77810.0,,813.6,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/028/853/02885333.jpg?type=m1&udate=20170825,https://data4library.kr/bookV?seq=2115300,646
1986,1986,들꽃 식혜 :백유연 그림책 ,글·그림: 백유연,웅진씽크빅,2023,9788901275253,74810.0,110.0,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32505/49/cover/8901275252_1.jpg,https://data4library.kr/bookV?seq=6765545,645
1987,1986,안녕 :안녕달 그림책 ,지은이: 안녕달,창비,2018,9788936455309,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/15539/6/cover/8936455303_1.jpg,https://data4library.kr/bookV?seq=3805435,645
1988,1986,해리포터 :불의 잔 ,J.K. 롤링 지음 ;강동혁 옮김,문학수첩,2019,9788983927712,4840.0,44.0,843.5,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/21574/23/cover/8983927712_2.jpg,https://data4library.kr/bookV?seq=5529770,645
1989,1986,멜라닌 :하승민 장편소설 ,지은이: 하승민,한겨레엔,2024,9791172130879,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34316/78/cover200/k202932578_1.jpg,https://data4library.kr/bookV?seq=6916919,645
1990,1986,새벽과 음악 =Dawn and music ,지은이: 이제니,시간의흐름,2024,9791190999175,4810.0,,814.7,문학 > 한국문학 > 수필,https://image.aladin.co.kr/product/33243/38/cover/k742938366_1.jpg,https://data4library.kr/bookV?seq=6819279,645
1991,1991,"기억나지 않음, 형사 :찬호께이 장편소설 ",지은이: 찬호께이 ;옮긴이: 강초아,한스미디어,2016,9788959759590,3820.0,,823.7,문학 > 중국문학 > 소설,http://image.aladin.co.kr/product/7832/12/cover/8959759597_1.jpg,https://data4library.kr/bookV?seq=3123892,644
